variable,state,year,prop,ciLB,ciUB,n,label
qn13,AK,1991,NA,NA,NA,0,Carried a weapon
qn13,AK,1993,NA,NA,NA,0,Carried a weapon
qn13,AK,1995,0.23472428772781112,0.20876701998861724,0.26283687313717025,1610,Carried a weapon
qn13,AK,1997,NA,NA,NA,0,Carried a weapon
qn13,AK,1999,NA,NA,NA,0,Carried a weapon
qn13,AK,2001,NA,NA,NA,0,Carried a weapon
qn13,AK,2003,0.18373747078871752,0.16103308558660687,0.20884612662078175,1436,Carried a weapon
qn13,AK,2005,NA,NA,NA,0,Carried a weapon
qn13,AK,2007,0.2437001532180843,0.21369175171180924,0.27644106743964,1272,Carried a weapon
qn13,AK,2009,0.20013137427958813,0.17434239294890577,0.22867854754251568,1315,Carried a weapon
qn13,AK,2011,0.18968737973597086,0.16267108560713162,0.22001158297720744,1288,Carried a weapon
qn13,AK,2013,0.19176037180426656,0.16565782567401977,0.22088699204315085,1191,Carried a weapon
qn13,AK,2015,NA,NA,NA,0,Carried a weapon
qn13,AL,1991,0.33086090501232696,0.30228211115122283,0.36074463998070394,2426,Carried a weapon
qn13,AL,1993,0.2678008028692434,0.2456645883744019,0.2911617562393448,4309,Carried a weapon
qn13,AL,1995,0.269831305313534,0.24792675850648424,0.2929173831598592,3768,Carried a weapon
qn13,AL,1997,0.261031680762719,0.2370715615213975,0.286503998210167,3649,Carried a weapon
qn13,AL,1999,0.23248003379823354,0.20511806002494234,0.2622876043725751,2053,Carried a weapon
qn13,AL,2001,0.20695287466746357,0.1822401364022098,0.23405762449959003,1539,Carried a weapon
qn13,AL,2003,0.19882001679144257,0.1682167681166349,0.2334283753607251,1068,Carried a weapon
qn13,AL,2005,0.20995799110775235,0.177736947795424,0.24627076819649849,1103,Carried a weapon
qn13,AL,2007,NA,NA,NA,0,Carried a weapon
qn13,AL,2009,0.22943603421863398,0.18860990149595075,0.27609229050463746,1456,Carried a weapon
qn13,AL,2011,0.21474861941549736,0.18421156847279932,0.24880395451986978,1338,Carried a weapon
qn13,AL,2013,0.23085856957715767,0.20092102815065313,0.2637843138752164,1502,Carried a weapon
qn13,AL,2015,0.2245830448703982,0.18858208079717378,0.265210384987911,1482,Carried a weapon
qn13,AR,1991,NA,NA,NA,0,Carried a weapon
qn13,AR,1993,NA,NA,NA,0,Carried a weapon
qn13,AR,1995,0.26076813751674094,0.23377314521172554,0.28970178327099133,2232,Carried a weapon
qn13,AR,1997,0.2750403424741788,0.24603561917884478,0.3060762913263503,1949,Carried a weapon
qn13,AR,1999,0.231561015092342,0.2101933843879446,0.2544011472456573,1413,Carried a weapon
qn13,AR,2001,0.22104603787497573,0.1957816516807884,0.2485629875865354,1670,Carried a weapon
qn13,AR,2003,NA,NA,NA,0,Carried a weapon
qn13,AR,2005,0.25918703998646436,0.23104288897579336,0.28946895355463265,1553,Carried a weapon
qn13,AR,2007,0.20651552384794444,0.1824914402097051,0.2328016308971602,1566,Carried a weapon
qn13,AR,2009,0.22917369846293786,0.1938978830191292,0.2687277812121599,1603,Carried a weapon
qn13,AR,2011,0.21128862914486654,0.17491977601799832,0.2529014003948039,1324,Carried a weapon
qn13,AR,2013,0.271311643369641,0.23503633408419797,0.31091012984162397,1481,Carried a weapon
qn13,AR,2015,0.20955621024836227,0.17788771964853592,0.24518111389902206,2762,Carried a weapon
qn13,AZ,1991,NA,NA,NA,0,Carried a weapon
qn13,AZ,1993,NA,NA,NA,0,Carried a weapon
qn13,AZ,1995,NA,NA,NA,0,Carried a weapon
qn13,AZ,1997,NA,NA,NA,0,Carried a weapon
qn13,AZ,1999,NA,NA,NA,0,Carried a weapon
qn13,AZ,2001,NA,NA,NA,0,Carried a weapon
qn13,AZ,2003,0.18383214817594865,0.1648389077306815,0.20447803264164296,3355,Carried a weapon
qn13,AZ,2005,0.20631711143507597,0.18643494768902555,0.22772608848535217,3223,Carried a weapon
qn13,AZ,2007,0.20509972011954747,0.18065791067417591,0.231912359389934,3017,Carried a weapon
qn13,AZ,2009,0.19865936664582312,0.1732539495543112,0.2267683219688417,2518,Carried a weapon
qn13,AZ,2011,0.17487709517498642,0.15438380839740584,0.19745550113319887,2723,Carried a weapon
qn13,AZ,2013,0.17528105071441677,0.14794226627201065,0.20644779452503934,1579,Carried a weapon
qn13,AZ,2015,0.1804208112229676,0.14813512423607952,0.2179428300536265,2531,Carried a weapon
qn13,CA,1991,NA,NA,NA,0,Carried a weapon
qn13,CA,1993,NA,NA,NA,0,Carried a weapon
qn13,CA,1995,NA,NA,NA,0,Carried a weapon
qn13,CA,1997,NA,NA,NA,0,Carried a weapon
qn13,CA,1999,NA,NA,NA,0,Carried a weapon
qn13,CA,2001,NA,NA,NA,0,Carried a weapon
qn13,CA,2003,NA,NA,NA,0,Carried a weapon
qn13,CA,2005,NA,NA,NA,0,Carried a weapon
qn13,CA,2007,NA,NA,NA,0,Carried a weapon
qn13,CA,2009,NA,NA,NA,0,Carried a weapon
qn13,CA,2011,NA,NA,NA,0,Carried a weapon
qn13,CA,2013,NA,NA,NA,0,Carried a weapon
qn13,CA,2015,0.08914858866532255,0.06795198029620304,0.11613331145770503,1916,Carried a weapon
qn13,CT,1991,NA,NA,NA,0,Carried a weapon
qn13,CT,1993,NA,NA,NA,0,Carried a weapon
qn13,CT,1995,NA,NA,NA,0,Carried a weapon
qn13,CT,1997,0.17000538272724236,0.14608524890900515,0.1969389092269255,1671,Carried a weapon
qn13,CT,1999,NA,NA,NA,0,Carried a weapon
qn13,CT,2001,NA,NA,NA,0,Carried a weapon
qn13,CT,2003,NA,NA,NA,0,Carried a weapon
qn13,CT,2005,0.16330862630174836,0.13586355872926079,0.19504636769236874,2207,Carried a weapon
qn13,CT,2007,0.17242422446136954,0.13769726917289324,0.21373838802157755,2047,Carried a weapon
qn13,CT,2009,0.12413655783964345,0.10771085383831716,0.1426666483943342,2372,Carried a weapon
qn13,CT,2011,NA,NA,NA,0,Carried a weapon
qn13,CT,2013,NA,NA,NA,0,Carried a weapon
qn13,CT,2015,NA,NA,NA,0,Carried a weapon
qn13,DE,1991,NA,NA,NA,0,Carried a weapon
qn13,DE,1993,NA,NA,NA,0,Carried a weapon
qn13,DE,1995,NA,NA,NA,0,Carried a weapon
qn13,DE,1997,NA,NA,NA,0,Carried a weapon
qn13,DE,1999,0.15768642304843802,0.1381302291987853,0.17943491439032347,2150,Carried a weapon
qn13,DE,2001,0.14461741144994208,0.1279039196993772,0.16310642534225878,2877,Carried a weapon
qn13,DE,2003,0.16025592301005354,0.14330264400505519,0.17879625755867806,2985,Carried a weapon
qn13,DE,2005,0.16564594079771947,0.14560912811293755,0.18783379809082304,2650,Carried a weapon
qn13,DE,2007,0.17125524832793093,0.1516652092993457,0.19280058426756513,2569,Carried a weapon
qn13,DE,2009,0.18502094317423498,0.16733523193723976,0.20411764891076284,2355,Carried a weapon
qn13,DE,2011,0.13473355336329285,0.11830239875606934,0.15305070096848591,2247,Carried a weapon
qn13,DE,2013,0.14362195103213934,0.12725438181852808,0.16170467203392513,2664,Carried a weapon
qn13,DE,2015,0.1298957750462768,0.11223843795480647,0.1498620364472829,2681,Carried a weapon
qn13,FL,1991,NA,NA,NA,0,Carried a weapon
qn13,FL,1993,NA,NA,NA,0,Carried a weapon
qn13,FL,1995,NA,NA,NA,0,Carried a weapon
qn13,FL,1997,NA,NA,NA,0,Carried a weapon
qn13,FL,1999,NA,NA,NA,0,Carried a weapon
qn13,FL,2001,0.164308959958513,0.14790361162616256,0.18214500210284004,4160,Carried a weapon
qn13,FL,2003,0.17163628984073645,0.15540748138464278,0.18918022833583828,4000,Carried a weapon
qn13,FL,2005,0.1522085500086371,0.13581008476476542,0.1701970996191861,4481,Carried a weapon
qn13,FL,2007,0.17964685058712812,0.1609285762004447,0.2000233103319668,4418,Carried a weapon
qn13,FL,2009,0.1725527527782887,0.1589235155962507,0.18709083044784494,5599,Carried a weapon
qn13,FL,2011,0.15578272568132182,0.14176770644826966,0.17090734718709014,6154,Carried a weapon
qn13,FL,2013,0.15709934398305547,0.14021822518551588,0.1755977333806602,6055,Carried a weapon
qn13,FL,2015,0.1540269995005536,0.13481049537681894,0.17542730537617449,6322,Carried a weapon
qn13,IA,1991,NA,NA,NA,0,Carried a weapon
qn13,IA,1993,NA,NA,NA,0,Carried a weapon
qn13,IA,1995,NA,NA,NA,0,Carried a weapon
qn13,IA,1997,0.18597352608329853,0.15411710539180537,0.2226812836937976,1496,Carried a weapon
qn13,IA,1999,NA,NA,NA,0,Carried a weapon
qn13,IA,2001,NA,NA,NA,0,Carried a weapon
qn13,IA,2003,NA,NA,NA,0,Carried a weapon
qn13,IA,2005,0.15717095863518515,0.1306004957089098,0.1879783355673287,1340,Carried a weapon
qn13,IA,2007,0.1276838061016852,0.1051913692801971,0.15415710077492575,1424,Carried a weapon
qn13,IA,2009,NA,NA,NA,0,Carried a weapon
qn13,IA,2011,0.15820666612647827,0.1349255203027819,0.1846474885463502,1508,Carried a weapon
qn13,IA,2013,NA,NA,NA,0,Carried a weapon
qn13,IA,2015,NA,NA,NA,0,Carried a weapon
qn13,ID,1991,0.32391692198948147,0.2995941632959058,0.3492297542990465,4137,Carried a weapon
qn13,ID,1993,0.2590972997998435,0.2304996699691368,0.2899062657605174,3936,Carried a weapon
qn13,ID,1995,NA,NA,NA,0,Carried a weapon
qn13,ID,1997,NA,NA,NA,0,Carried a weapon
qn13,ID,1999,NA,NA,NA,0,Carried a weapon
qn13,ID,2001,NA,NA,NA,0,Carried a weapon
qn13,ID,2003,NA,NA,NA,0,Carried a weapon
qn13,ID,2005,0.23853670393268744,0.2099542062231841,0.26968209480189914,1452,Carried a weapon
qn13,ID,2007,0.2362089308213011,0.20462436522104221,0.27100757447202894,1393,Carried a weapon
qn13,ID,2009,0.21793347672095378,0.19294895968453765,0.2451703784116541,2111,Carried a weapon
qn13,ID,2011,0.2282136459784898,0.20099932946558377,0.2579232038405652,1696,Carried a weapon
qn13,ID,2013,0.27045939588729906,0.2400897412124875,0.3031381539050622,1876,Carried a weapon
qn13,ID,2015,0.28179155473326223,0.24962013073631498,0.3163611942259927,1736,Carried a weapon
qn13,IL,1991,NA,NA,NA,0,Carried a weapon
qn13,IL,1993,0.22425918098793293,0.20050972548188087,0.24994222633929433,3974,Carried a weapon
qn13,IL,1995,0.20885396086615338,0.1778804810286359,0.24362249397468078,3027,Carried a weapon
qn13,IL,1997,NA,NA,NA,0,Carried a weapon
qn13,IL,1999,NA,NA,NA,0,Carried a weapon
qn13,IL,2001,NA,NA,NA,0,Carried a weapon
qn13,IL,2003,NA,NA,NA,0,Carried a weapon
qn13,IL,2005,NA,NA,NA,0,Carried a weapon
qn13,IL,2007,0.14272277482115828,0.11900593249547989,0.1702527653987616,2382,Carried a weapon
qn13,IL,2009,0.16009794309097103,0.13904005145115286,0.1836647437076828,2968,Carried a weapon
qn13,IL,2011,0.12598391981145027,0.10703013067076694,0.147738883251547,3506,Carried a weapon
qn13,IL,2013,0.15771170066299997,0.1349705872339963,0.18347176487004374,3176,Carried a weapon
qn13,IL,2015,0.15415929878150336,0.12605836596484607,0.18718279848819128,3176,Carried a weapon
qn13,KS,1991,NA,NA,NA,0,Carried a weapon
qn13,KS,1993,NA,NA,NA,0,Carried a weapon
qn13,KS,1995,NA,NA,NA,0,Carried a weapon
qn13,KS,1997,NA,NA,NA,0,Carried a weapon
qn13,KS,1999,NA,NA,NA,0,Carried a weapon
qn13,KS,2001,NA,NA,NA,0,Carried a weapon
qn13,KS,2003,NA,NA,NA,0,Carried a weapon
qn13,KS,2005,0.16214025101313095,0.13598074653534045,0.19221268864168736,1612,Carried a weapon
qn13,KS,2007,0.1844504898541852,0.16087154632276268,0.21061796533771746,1697,Carried a weapon
qn13,KS,2009,0.15971132964124182,0.13603750093937528,0.1866151018825638,2000,Carried a weapon
qn13,KS,2011,NA,NA,NA,0,Carried a weapon
qn13,KS,2013,0.16066250477776253,0.14222148364180978,0.1809901373140753,1932,Carried a weapon
qn13,KS,2015,NA,NA,NA,0,Carried a weapon
qn13,KY,1991,NA,NA,NA,0,Carried a weapon
qn13,KY,1993,NA,NA,NA,0,Carried a weapon
qn13,KY,1995,NA,NA,NA,0,Carried a weapon
qn13,KY,1997,0.2635521754681757,0.21494556856781089,0.3186884223186109,1446,Carried a weapon
qn13,KY,1999,NA,NA,NA,0,Carried a weapon
qn13,KY,2001,NA,NA,NA,0,Carried a weapon
qn13,KY,2003,0.184948472758236,0.16156293212909795,0.210867650450382,1586,Carried a weapon
qn13,KY,2005,0.23115368699938418,0.20429179578332227,0.26039175636271145,3196,Carried a weapon
qn13,KY,2007,0.24438481998159683,0.2229776066930516,0.26714066984216434,3548,Carried a weapon
qn13,KY,2009,0.21696742996295976,0.1831889207473317,0.25502972210848507,1730,Carried a weapon
qn13,KY,2011,0.22844054529899158,0.1959596786753275,0.2645339071464312,1683,Carried a weapon
qn13,KY,2013,0.20725003031745765,0.17951609037422767,0.238025657071211,1562,Carried a weapon
qn13,KY,2015,0.2310200445839536,0.20135618704398836,0.26361153842762874,2530,Carried a weapon
qn13,MD,1991,NA,NA,NA,0,Carried a weapon
qn13,MD,1993,NA,NA,NA,0,Carried a weapon
qn13,MD,1995,NA,NA,NA,0,Carried a weapon
qn13,MD,1997,NA,NA,NA,0,Carried a weapon
qn13,MD,1999,NA,NA,NA,0,Carried a weapon
qn13,MD,2001,NA,NA,NA,0,Carried a weapon
qn13,MD,2003,NA,NA,NA,0,Carried a weapon
qn13,MD,2005,0.19056258787299482,0.15848777216714305,0.22737477819733073,1382,Carried a weapon
qn13,MD,2007,0.1927715299747426,0.16242023071262723,0.22725567111705647,1481,Carried a weapon
qn13,MD,2009,0.16587252519710297,0.14131078164507238,0.19374021217943846,1594,Carried a weapon
qn13,MD,2011,0.15878138460044833,0.13293393543625526,0.1885616171579506,2749,Carried a weapon
qn13,MD,2013,0.15786609584876252,0.1518206274911248,0.16410571728516923,52557,Carried a weapon
qn13,MD,2015,0.14850332328661722,0.1431244808322452,0.15404796964994258,54491,Carried a weapon
qn13,ME,1991,NA,NA,NA,0,Carried a weapon
qn13,ME,1993,NA,NA,NA,0,Carried a weapon
qn13,ME,1995,0.19533101209220477,0.15715244201601075,0.24014203728515157,1361,Carried a weapon
qn13,ME,1997,0.21980530383491695,0.18746797452876074,0.2559634778255546,1800,Carried a weapon
qn13,ME,1999,NA,NA,NA,0,Carried a weapon
qn13,ME,2001,0.15449694570084116,0.12343625450026378,0.1916645626607749,1321,Carried a weapon
qn13,ME,2003,0.16511640923429996,0.14222544110139365,0.19087182159676216,1633,Carried a weapon
qn13,ME,2005,0.1827749727235646,0.1454550865927091,0.2271251771680965,1346,Carried a weapon
qn13,ME,2007,0.14986806309572728,0.12132509927752333,0.1837220064206212,1294,Carried a weapon
