Rank,State,Percent,Year
1,New Hampshire,42.10,2016
2,Iowa,42.50,2016
3,Vermont,44.90,2016
4,Connecticut,47.20,2016
5,Alaska,48.10,2016
6,Maine,49.40,2016
7,Minnesota,51.20,2016
8,West Virginia,51.60,2016
9,Maryland,53.30,2016
10,New Jersey,54.00,2016
11,Washington,54.20,2016
12,Kansas,56.60,2016
13,Colorado,58.40,2016
19,Massachusetts,58.80,2016
15,South Dakota,58.90,2016
16,Pennsylvania,59.40,2016
17,Wyoming,60.60,2016
18,Utah,61.10,2016
19,Michigan,61.30,2016
20,Oregon,62.00,2016
21,New Mexico,62.20,2016
22,Mississippi,62.50,2016
23,California,63.00,2016
24,Delaware,63.10,2016
25,North Dakota,63.40,2016
26,Ohio,64.00,2016
27,New York,64.30,2016
28,Georgia,64.50,2016
29,Idaho,64.60,2016
30,Illinois,64.80,2016
31,North Carolina,65.70,2016
32,Kentucky,66.70,2016
33,Rhode Island,67.10,2016
34,Texas,67.30,2016
35,I otrisiana,67.40,2016
36,Missouri,67.80,2016
37,South Carolina,68.60,2016
38,Florida,68.80,2016
39,Wisconsin,68.90,2016
40,Nebraska,69.20,2016
41,Oklahoma,69.60,2016
42,Arizona,69.70,2016
43,Montana,70.80,2016
44,Hawaii,70.90,2016
45,Indiana,71.10,2016
46,Nevada,71.60,2016
47,Alabama,77.50,2016
48,DC,73.10,2016
49,Virginia,76.40,2016
50,Tennessee,76.50,2016
51,Arkansas,77.00,2016
