Rank,State,Percent,Year
1,Connecticut,45.8,2019
2,Minnesota,46.5,2019
3,Maine,48.5,2019
4,New Hampshire,51.5,2019
5,Ohio,51.6,2019
6,Massachusetts,53.8,2019
7,Oregon,53.9,2019
8,Alaska,54.2,2019
9,Vermont,54.4,2019
10,Colorado,55.4,2019
11,Wyoming,55.8,2019
12,Maryland,55.9,2019
13,North Dakota,56.0,2019
14,Idaho,57.1,2019
15,Rhode Island,57.2,2019
16,Georgia,57.5,2019
17,Iowa,58.3,2019
18,West Virginia,58.6,2019
19,Illinois,59.4,2019
20,New York,59.6,2019
21,Nevada,59.8,2019
22,Pennsylvania,59.8,2019
23,New Jersey,60.6,2019
24,Indiana,61.6,2019
25,Washington,61.7,2019
26,North Carolina,62.2,2019
27,District of Columbia,62.3,2019
28,Florida,62.4,2019
29,Oklahoma,62.6,2019
30,Delaware,62.8,2019
31,Virginia,63.1,2019
32,Montana,63.3,2019
33,Louisiana,63.4,2019
34,South Dakota,63.4,2019
35,Utah,63.8,2019
36,Arizona,64.0,2019
37,Michigan,64.3,2019
38,Missouri,64.6,2019
39,California,65.1,2019
40,Kansas,65.3,2019
41,Arkansas,66.0,2019
42,Wisconsin,66.4,2019
43,Mississippi,67.1,2019
44,New Mexico,67.3,2019
45,Alabama,67.4,2019
46,Nebraska,67.4,2019
47,Hawaii,67.5,2019
48,Kentucky,67.5,2019
49,South Carolina,69.0,2019
50,Tennessee,70.7,2019
51,Texas,71.3,2019
,,,
