"","state","year","population"
"1","Alabama","1970","3444354"
"2","Alaska","1970","302583"
"3","Arizona","1970","1775399"
"4","Arkansas","1970","1923322"
"5","California","1970","19971069"
"6","Colorado","1970","2209596"
"7","Connecticut","1970","3032217"
"8","Delaware","1970","548104"
"9","District of Columbia","1970","756668"
"10","Florida","1970","6791418"
"11","Georgia","1970","4587930"
"12","Hawaii","1970","769913"
"13","Idaho","1970","713015"
"14","Illinois","1970","11110285"
"15","Indiana","1970","5195392"
"16","Iowa","1970","2825368"
"17","Kansas","1970","2249071"
"18","Kentucky","1970","3220711"
"19","Louisiana","1970","3644637"
"20","Maine","1970","993722"
"21","Maryland","1970","3923897"
"22","Massachusetts","1970","5689170"
"23","Michigan","1970","8881826"
"24","Minnesota","1970","3806103"
"25","Mississippi","1970","2216994"
"26","Missouri","1970","4677623"
"27","Montana","1970","694409"
"28","Nebraska","1970","1485333"
"29","Nevada","1970","488738"
"30","New Hampshire","1970","737681"
"31","New Jersey","1970","7171112"
"32","New Mexico","1970","1017055"
"33","New York","1970","18241391"
"34","North Carolina","1970","5084411"
"35","North Dakota","1970","617792"
"36","Ohio","1970","10657423"
"37","Oklahoma","1970","2559463"
"38","Oregon","1970","2091533"
"39","Pennsylvania","1970","11800766"
"40","Rhode Island","1970","949723"
"41","South Carolina","1970","2590713"
"42","South Dakota","1970","666257"
"43","Tennessee","1970","3926018"
"44","Texas","1970","11198655"
"45","Utah","1970","1059273"
"46","Vermont","1970","444732"
"47","Virginia","1970","4651448"
"48","Washington","1970","3413244"
"49","West Virginia","1970","1744237"
"50","Wisconsin","1970","4417821"
"51","Wyoming","1970","332416"
"52","Alabama","1971","3497076"
"53","Alaska","1971","315510"
"54","Arizona","1971","1895814"
"55","Arkansas","1971","1972312"
"56","California","1971","20345939"
"57","Colorado","1971","2303524"
"58","Connecticut","1971","3060938"
"59","Delaware","1971","564708"
"60","District of Columbia","1971","749781"
"61","Florida","1971","7158304"
"62","Georgia","1971","4711550"
"63","Hawaii","1971","801644"
"64","Idaho","1971","738753"
"65","Illinois","1971","11202397"
"66","Indiana","1971","5253396"
"67","Iowa","1971","2851705"
"68","Kansas","1971","2246600"
"69","Kentucky","1971","3298053"
"70","Louisiana","1971","3710487"
"71","Maine","1971","1015390"
"72","Maryland","1971","4018324"
"73","Massachusetts","1971","5737580"
"74","Michigan","1971","8974186"
"75","Minnesota","1971","3853486"
"76","Mississippi","1971","2265432"
"77","Missouri","1971","4725764"
"78","Montana","1971","710814"
"79","Nebraska","1971","1504604"
"80","Nevada","1971","520018"
"81","New Hampshire","1971","761851"
"82","New Jersey","1971","7281107"
"83","New Mexico","1971","1053737"
"84","New York","1971","18357982"
"85","North Carolina","1971","5203531"
"86","North Dakota","1971","626760"
"87","Ohio","1971","10734818"
"88","Oklahoma","1971","2618601"
"89","Oregon","1971","2151022"
"90","Pennsylvania","1971","11886400"
"91","Rhode Island","1971","963107"
"92","South Carolina","1971","2662269"
"93","South Dakota","1971","671297"
"94","Tennessee","1971","4013608"
"95","Texas","1971","11509848"
"96","Utah","1971","1101192"
"97","Vermont","1971","454318"
"98","Virginia","1971","4750838"
"99","Washington","1971","3447553"
"100","West Virginia","1971","1770657"
"101","Wisconsin","1971","4462155"
"102","Wyoming","1971","340285"
"103","Alabama","1972","3539400"
"104","Alaska","1972","324464"
"105","Arizona","1972","2008291"
"106","Arkansas","1972","2018638"
"107","California","1972","20585469"
"108","Colorado","1972","2404619"
"109","Connecticut","1972","3068699"
"110","Delaware","1972","572913"
"111","District of Columbia","1972","742241"
"112","Florida","1972","7511463"
"113","Georgia","1972","4809490"
"114","Hawaii","1972","828331"
"115","Idaho","1972","763237"
"116","Illinois","1972","11251948"
"117","Indiana","1972","5302435"
"118","Iowa","1972","2860287"
"119","Kansas","1972","2256375"
"120","Kentucky","1972","3335728"
"121","Louisiana","1972","3761646"
"122","Maine","1972","1034292"
"123","Maryland","1972","4073499"
"124","Massachusetts","1972","5760302"
"125","Michigan","1972","9028944"
"126","Minnesota","1972","3869747"
"127","Mississippi","1972","2307117"
"128","Missouri","1972","4758780"
"129","Montana","1972","718732"
"130","Nebraska","1972","1519013"
"131","Nevada","1972","546789"
"132","New Hampshire","1972","781107"
"133","New Jersey","1972","7335042"
"134","New Mexico","1972","1078697"
"135","New York","1972","18339400"
"136","North Carolina","1972","5301150"
"137","North Dakota","1972","631119"
"138","Ohio","1972","10746993"
"139","Oklahoma","1972","2658646"
"140","Oregon","1972","2197297"
"141","Pennsylvania","1972","11908233"
"142","Rhode Island","1972","974790"
"143","South Carolina","1972","2719197"
"144","South Dakota","1972","677234"
"145","Tennessee","1972","4094611"
"146","Texas","1972","11759148"
"147","Utah","1972","1135449"
"148","Vermont","1972","463143"
"149","Virginia","1972","4824472"
"150","Washington","1972","3447885"
"151","West Virginia","1972","1797648"
"152","Wisconsin","1972","4502412"
"153","Wyoming","1972","347345"
"154","Alabama","1973","3579780"
"155","Alaska","1973","330543"
"156","Arizona","1973","2124438"
"157","Arkansas","1973","2059256"
"158","California","1973","20868728"
"159","Colorado","1973","2495868"
"160","Connecticut","1973","3067814"
"161","Delaware","1973","577759"
"162","District of Columbia","1973","731488"
"163","Florida","1973","7913696"
"164","Georgia","1973","4910374"
"165","Hawaii","1973","851595"
"166","Idaho","1973","782074"
"167","Illinois","1973","11251367"
"168","Indiana","1973","5338277"
"169","Iowa","1973","2863715"
"170","Kansas","1973","2265603"
"171","Kentucky","1973","3371024"
